D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\silla docente D-12.dwg,Modelo,12/08/2022 13:48:46,ITO,Kyocera ECOSYS P2040dw,A4,1:0.0217154,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\mesa docente D-11.dwg,Modelo,19/08/2022 11:55:05,ITO,Nitro PDF Creator,A4,1:0.0149415,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\mesa primaria D-03.dwg,Modelo,19/08/2022 11:57:45,ITO,Nitro PDF Creator,A4,1:0.0183348,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\mesa primaria D-04.dwg,Modelo,19/08/2022 11:58:29,ITO,Nitro PDF Creator,A4,1:0.0185875,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\mesa primaria D-05.dwg,Modelo,19/08/2022 11:59:09,ITO,Nitro PDF Creator,A4,1:0.0182054,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\mesa secundaria D-06.dwg,Modelo,19/08/2022 11:59:41,ITO,Nitro PDF Creator,A4,1:0.0182822,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\mesa secundaria D-07.dwg,Modelo,19/08/2022 12:00:09,ITO,Nitro PDF Creator,A4,1:0.0185479,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\mesa secundaria D-08.dwg,Modelo,19/08/2022 12:00:38,ITO,Nitro PDF Creator,A4,1:0.0185479,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\mesa secundaria D-08.dwg,Modelo,19/08/2022 12:01:01,ITO,Nitro PDF Creator,A4,1:0.0185479,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\silla docente D-12.dwg,Modelo,19/08/2022 12:01:26,ITO,Nitro PDF Creator,A4,1:0.0215889,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\silla primaria D-13.dwg,Modelo,19/08/2022 12:01:59,ITO,Nitro PDF Creator,A4,1:0.0215936,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\silla primaria D-14.dwg,Modelo,19/08/2022 12:02:22,ITO,Nitro PDF Creator,A4,1:0.0215936,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\silla secundaria D-15.dwg,Modelo,19/08/2022 12:02:55,ITO,Nitro PDF Creator,A4,1:0.0215866,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\silla secundaria D-16 - S.dwg,Modelo,19/08/2022 12:03:20,ITO,Nitro PDF Creator,A4,1:0.0215866,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\silla secundaria D-17 - s.dwg,Modelo,19/08/2022 12:03:42,ITO,Nitro PDF Creator,A4,1:0.0215866,
D:\Repositorio\Instalaciones_Especiales\Equipamiento y Moviliario\Planos\silla secundaria D-18.dwg,Modelo,19/08/2022 12:04:05,ITO,Nitro PDF Creator,A4,1:0.0215866,
